"original address",latitude,longitude
"4305 E MINNESOTA ST,INDIANAPOLIS,INDIANA",39.745216,-86.094261
"206 N GRAY ST,INDIANAPOLIS,INDIANA",39.770287,-86.111994
"6044 E 40TH ST,INDIANAPOLIS,INDIANA",39.82959,-86.063344
"2434 INDIANAPOLIS AVE,INDIANAPOLIS,INDIANA",39.802036,-86.168274
"2626 DAWSON ST,INDIANAPOLIS,INDIANA",39.729282,-86.126966
"1527 STURM AVE,INDIANAPOLIS,INDIANA",39.772708,-86.13242
"820 ROENA ST,INDIANAPOLIS,INDIANA",39.754736,-86.234786
"940 N DEARBORN ST,INDIANAPOLIS,INDIANA",39.780167,-86.111121
"2620 E 37TH ST,INDIANAPOLIS,INDIANA",39.823622,-86.117689
"2726 N CAPITOL AVE,INDIANAPOLIS,INDIANA",39.806229,-86.161806
"427 N DENNY ST,INDIANAPOLIS,INDIANA",39.774145,-86.099483
"813 E 21ST ST,INDIANAPOLIS,INDIANA",39.795719,-86.143061
"3446 RALSTON AVE,INDIANAPOLIS,INDIANA",39.819425,-86.131415
"2345 COYNER AVE,INDIANAPOLIS,INDIANA",39.788748,-86.121414
"448 N STATE AVE,INDIANAPOLIS,INDIANA",39.773349,-86.131005
"1506 S SPENCER AVE,INDIANAPOLIS,INDIANA",39.747821,-86.080977
"2953 N GLADSTONE AVE,INDIANAPOLIS,INDIANA",39.810309,-86.096062
"3108 JACKSON ST,INDIANAPOLIS,INDIANA",39.763982,-86.210714
"3132 N SHERMAN DR,INDIANAPOLIS,INDIANA",39.813187,-86.10305
"23 S BRADLEY AVE,INDIANAPOLIS,INDIANA",39.768528,-86.100682
"3520 ROBSON ST,INDIANAPOLIS,INDIANA",39.774041,-86.10642
"1114 S SHEFFIELD AVE,INDIANAPOLIS,INDIANA",39.75221,-86.198358
"1417 HIATT ST,INDIANAPOLIS,INDIANA",39.746816,-86.195186
"1208 N TIBBS AVE,INDIANAPOLIS,INDIANA",39.784595,-86.216103
"1316 W 22ND ST,INDIANAPOLIS,INDIANA",39.798044,-86.185527
"825 DIVISION ST,INDIANAPOLIS,INDIANA",39.756054,-86.182464
"1938 E 11TH ST,INDIANAPOLIS,INDIANA",39.782336,-86.127001
