OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2223,1051495,1042109,1042109,232 S RURAL ST,INDIANAPOLIS,165344,0,-86.76535389075062,35.24199775413121
2224,1049593,1035661,1035661,51 S CHESTER AVE,INDIANAPOLIS,120035,0,-86.76535389075062,35.24199775413121
2225,1273791,9024123,9024123,1132 MEDFORD AVE,INDIANAPOLIS,243880,1,-86.76535389075062,35.24199775413121
2226,1007425,1033018,1033018,1330 W 32ND ST,INDIANAPOLIS,66762,0,-86.76535389075062,35.24199775413121
2227,1273577,9023538,9023538,1129 N MOUNT ST,INDIANAPOLIS,258675,1,-86.76535389075062,35.24199775413121
2228,1318538,7023356,7023356,5201 WINSTON PL,INDIANAPOLIS,102543,0,-86.76535389075062,35.24199775413121
2229,1012737,1077997,1077997,2866 N DEARBORN ST,INDIANAPOLIS,177385,0,-86.76535389075062,35.24199775413121
2230,1185097,7000354,7000354,2239 N BUTLER AVE,INDIANAPOLIS,194527,0,-86.76535389075062,35.24199775413121
2231,1243699,8007819,8007819,3108 E 48TH ST,INDIANAPOLIS,43384,0,-86.76535389075062,35.24199775413121
2232,1275366,9019754,9019754,2807 W 10TH ST,INDIANAPOLIS,105601,0,-86.76535389075062,35.24199775413121
2233,1064764,1038512,1038512,1401 S ALABAMA ST,INDIANAPOLIS,101194,1,-86.76535389075062,35.24199775413121
2234,1016138,1068102,1068102,834 ROACHE ST,INDIANAPOLIS,36596,0,-86.76535389075062,35.24199775413121
2235,1280332,9015645,9015645,373 N HOLMES AVE,INDIANAPOLIS,307281,1,-86.76535723901782,35.241997723733036
2236,1203798,7012570,7012570,5722 GREENFIELD AVE,INDIANAPOLIS,86646,0,-86.76535389075062,35.24199775413121
2237,1032254,1021494,1021494,1426 N COLORADO AVE,INDIANAPOLIS,291729,1,-86.76535389075062,35.24199775413121
2238,1007976,1073554,1073554,1335 W 32ND ST,INDIANAPOLIS,339492,1,-86.76535389075062,35.24199775413121
2239,1006263,1029361,1029361,3242 N CAPITOL AVE,INDIANAPOLIS,65378,1,-86.76535389075062,35.24199775413121
2240,1278401,9021684,9021684,534 N GOODLET AVE,INDIANAPOLIS,201746,1,-86.76535389075062,35.24199775413121
2241,1015018,1012532,1012532,2724 N CAPITOL AVE,INDIANAPOLIS,76872,0,-86.76535389075062,35.24199775413121
2242,1251348,8013005,8013005,4030 BOULEVARD PL,INDIANAPOLIS,332062,1,-86.76535723901782,35.241997723733036
2243,1265247,9029683,9029683,2205 N GOODLET AVE,INDIANAPOLIS,322448,0,-86.76535389075062,35.24199775413121
2244,1291670,9031665,9031665,1054 ROENA ST,INDIANAPOLIS,94115,0,-86.76535389075062,35.24199775413121
2245,1262561,9037895,9037895,2940 COLERAIN DR,INDIANAPOLIS,204139,1,-86.76535389075062,35.24199775413121
